sample_id,day_id,contribution_id,old_contribution_id
CV22-NTHB-00023,NTHB-214,NORA24,NORA-L
CV22-NTHB-00024,NTHB-215,NORA24,NORA-N
CV22-NTHB-00026,NTHB-217,NORA24,NORA-L
CV22-NTHB-00027,NTHB-218,NORA24,NORA-M
CV22-NTHB-00028,NTHB-250,NORA24,NORA-I
CV22-NTHB-00029,NTHB-251,NORA24,NORA-I
CV22-NTHB-00031,NTHB-253,NORA24,NORA-J
CV22-NTHB-00032,NTHB-254,NORA24,NORA-I
CV22-NTHB-00033,NTHB-255,NORA24,NORA-I
CV22-NTHB-00034,NTHB-256,NORA24,NORA-N
CV22-NTHB-00035,NTHB-257,NORA24,NORA-J
CV22-NTHB-00036,NTHB-258,NORA24,NORA-J
CV22-NTHB-00037,NTHB-259,NORA24,NORA-N
CV22-NTHB-00038,NTHB-260,NORA24,NORA-N
CV22-NTHB-00039,NTHB-261,NORA24,NORA-N
CV22-SOUB-00004,SOUB-250,LAMA24,LAMA24-B
CV22-SOUB-00004,SOUB-250,LAMA24,LAMA24-E
CV22-SOUC-00001,SOUC-201,LAMA24,LAMA24-D
CV22-SOUC-00002,SOUC-202,LAMA24,LAMA24-D
CV22-SOUC-00003,SOUC-203,LAMA24,LAMA24-D
CV22-SOUC-00004,SOUC-204,LAMA24,LAMA24-D
CV22-SOUC-00005,SOUC-205,LAMA24,LAMA24-D
CV22-SOUC-00006,SOUC-206,LAMA24,LAMA24-C
CV22-SOUC-00007,SOUC-207,LAMA24,LAMA24-D
CV22-SOUC-00008,SOUC-208,LAMA24,LAMA24-C
CV22-SOUC-00012,SOUC-212,LAMA24,LAMA24-A
CV22-SOUC-00013,SOUC-213,LAMA24,LAMA24-C
CV22-SOUC-00014,SOUC-214,LAMA24,LAMA24-C
CV22-SOUC-00015,SOUC-215,LAMA24,LAMA24-A
CV22-SOUC-00016,SOUC-216,LAMA24,LAMA24-B
CV22-SOUC-00018,SOUC-218,LAMA24,LAMA24-B
CV22-SOUC-00020,SOUC-220,LAMA24,LAMA24-B
CV22-SOUC-00023,SOUC-223,LAMA24,LAMA24-A
CV22-SOUC-00024,SOUC-224,LAMA24,LAMA24-E
CV22-SOUC-00029,SOUC-229,LAMA24,LAMA24-A
CV22-SOUC-00030,SOUC-230,LAMA24,LAMA24-E
CV22-SOUC-00035,SOUC-254,LAMA24,LAMA24-B
CV22-SOUC-00035,SOUC-254,LAMA24,LAMA24-E
CV22-SOUC-00036,SOUC-255,LAMA24,LAMA24-C
CV22-SOUC-00037,SOUC-256,LAMA24,LAMA24-A
CV22-SOUC-00038,SOUC-257,LAMA24,LAMA24-C
CV22-SOUC-00039,SOUC-258,LAMA24,LAMA24-E
CV22-SOUC-00041,SOUC-201,LAMA24,LAMA-J
CV22-SOUC-00042,SOUC-202,LAMA24,LAMA-I
CV22-SOUC-00043,SOUC-203,LAMA24,LAMA-I
CV22-SOUC-00044,SOUC-204,LAMA24,LAMA-I
CV22-SOUC-00045,SOUC-205,LAMA24,LAMA-J
CV22-SOUC-00046,SOUC-206,LAMA24,LAMA-I
CV22-SOUC-00048,SOUC-208,LAMA24,LAMA-G
CV22-SOUC-00049,SOUC-209,LAMA24,LAMA-I
CV22-SOUC-00050,SOUC-210,LAMA24,LAMA-G
CV22-SOUC-00052,SOUC-212,LAMA24,LAMA-G
CV22-SOUC-00053,SOUC-213,LAMA24,LAMA-G
CV22-SOUC-00055,SOUC-215,LAMA24,LAMA-G
CV22-SOUC-00056,SOUC-216,LAMA24,LAMA-I
CV22-SOUC-00058,SOUC-218,LAMA24,LAMA-I
CV22-SOUC-00059,SOUC-219,LAMA24,LAMA-G
CV22-SOUC-00060,SOUC-220,LAMA24,LAMA-G
CV22-SOUC-00061,SOUC-250,LAMA24,LAMA-F
CV22-SOUC-00062,SOUC-251,LAMA24,LAMA-F
CV22-SOUC-00063,SOUC-252,LAMA24,LAMA-F
CV22-SOUC-00064,SOUC-253,LAMA24,LAMA-F
CV22-SOUC-00065,SOUC-254,LAMA24,LAMA-F
CV22-SOUC-00066,SOUC-255,LAMA24,LAMA-F
CV22-SOUC-00067,SOUC-256,LAMA24,LAMA-F
CV22-SOUC-00068,SOUC-257,LAMA24,LAMA-H
CV22-SOUC-00069,SOUC-258,LAMA24,LAMA-H
CV22-SOUC-00070,SOUC-259,LAMA24,LAMA-H
CV22-SOUC-00071,SOUC-260,LAMA24,LAMA-J
CV22-SOUC-00072,SOUC-261,LAMA24,LAMA-J
CV22-SOUC-00073,SOUC-262,LAMA24,LAMA-J
CV22-SOUC-00074,SOUC-263,LAMA24,LAMA-J
CV22-SOUC-00075,SOUC-264,LAMA24,LAMA-J
CV22-SOUC-00076,SOUC-265,LAMA24,LAMA-H
CV23-NTHA-00001,NTHA-301,NORA24,NORA-G
CV23-NTHA-00002,NTHA-302,NORA24,NORA-A
CV23-NTHA-00003,NTHA-303,NORA24,NORA-A
CV23-NTHA-00004,NTHA-304,NORA24,NORA-A
CV23-NTHA-00005,NTHA-305,NORA24,NORA-A
CV23-NTHA-00006,NTHA-306,NORA24,NORA-A
CV23-NTHA-00007,NTHA-307,NORA24,NORA-G
CV23-NTHA-00008,NTHA-308,NORA24,NORA-A
CV23-NTHA-00009,NTHA-309,NORA24,NORA-G
CV23-NTHA-00010,NTHA-310,NORA24,NORA-H
CV23-NTHA-00011,NTHA-311,NORA24,NORA-G
CV23-NTHA-00012,NTHA-312,NORA24,NORA-D
CV23-NTHA-00013,NTHA-313,NORA24,NORA-D
CV23-NTHA-00014,NTHA-314,NORA24,NORA-D
CV23-NTHA-00015,NTHA-315,NORA24,NORA-G
CV23-NTHA-00016,NTHA-316,NORA24,NORA-D
CV23-NTHA-00017,NTHA-317,NORA24,NORA-H
CV23-NTHA-00018,NTHA-318,NORA24,NORA-F
CV23-NTHA-00019,NTHA-319,NORA24,NORA-F
CV23-NTHA-00020,NTHA-320,NORA24,NORA-F
CV23-NTHA-00021,NTHA-321,NORA24,NORA-F
CV23-NTHA-00022,NTHA-322,NORA24,NORA-B
CV23-NTHA-00023,NTHA-323,NORA24,NORA-E
CV23-NTHA-00024,NTHA-324,NORA24,NORA-E
CV23-NTHA-00025,NTHA-325,NORA24,NORA-E
CV23-NTHA-00027,NTHA-327,NORA24,NORA-E
CV23-NTHA-00028,NTHA-328,NORA24,NORA-B
CV23-NTHA-00029,NTHA-329,NORA24,NORA-C
CV23-NTHA-00030,NTHA-330,NORA24,NORA-C
CV23-NTHA-00032,NTHA-351,NORA24,NORA-A
CV23-NTHA-00033,NTHA-352,NORA24,NORA-A
CV23-NTHA-00035,NTHA-354,NORA24,NORA-E
CV23-NTHA-00036,NTHA-355,NORA24,NORA-H
CV23-NTHA-00037,NTHA-356,NORA24,NORA-E
CV23-NTHA-00038,NTHA-357,NORA24,NORA-C
CV23-NTHA-00039,NTHA-358,NORA24,NORA-F
CV23-NTHA-00040,NTHA-359,NORA24,NORA-D
CV23-NTHA-00041,NTHA-360,NORA24,NORA-H
CV23-NTHA-00042,NTHA-361,NORA24,NORA-D
CV23-NTHA-00043,NTHA-362,NORA24,NORA-F
CV23-NTHA-00044,NTHA-363,NORA24,NORA-D
CV23-NTHA-00045,NTHA-364,NORA24,NORA-H
CV23-NTHA-00046,NTHA-331,NORA24,NORA-C
CV23-NTHA-00047,NTHA-332,NORA24,NORA-C
CV23-NTHA-00048,NTHA-333,NORA24,NORA-C
CV23-NTHA-00049,NTHA-334,NORA24,NORA-H
CV23-NTHA-00050,NTHA-335,NORA24,NORA-D
CV23-NTHA-00051,NTHA-336,NORA24,NORA-H
CV23-NTHA-00052,NTHA-337,NORA24,NORA-D
CV23-NTHA-00053,NTHA-338,NORA24,NORA-B
CV23-NTHA-00054,NTHA-339,NORA24,NORA-B
CV23-NTHA-00055,NTHA-340,NORA24,NORA-E
CV23-NTHA-00056,NTHA-341,NORA24,NORA-E
CV23-NTHA-00057,NTHA-342,NORA24,NORA-H
CV23-NTHA-00058,NTHA-343,NORA24,NORA-H
CV23-NTHA-00059,NTHA-344,NORA24,NORA-B
CV23-NTHA-00060,NTHA-345,NORA24,NORA-B
CV23-NTHA-00062,NTHA-366,NORA24,NORA-F
CV23-NTHA-00063,NTHA-367,NORA24,NORA-G
CV23-NTHA-00064,NTHA-368,NORA24,NORA-G
CV23-NTHA-00066,NTHA-370,NORA24,NORA-G
CV23-NTHA-00067,NTHA-371,NORA24,NORA-C
CV23-NTHA-00068,NTHA-372,NORA24,NORA-H
CV23-NTHA-00069,NTHA-373,NORA24,NORA-D
CV23-NTHA-00071,NTHA-375,NORA24,NORA-G
CV23-NTHA-00072,NTHA-376,NORA24,NORA-A
CV23-NTHA-00073,NTHA-377,NORA24,NORA-F
CV23-NTHA-00074,NTHA-378,NORA24,NORA-B
CV23-NTHA-00076,NTHA-380,NORA24,NORA-B
CV23-NTHA-00077,NTHA-381,NORA24,NORA-H
CV23-NTHA-00078,NTHA-382,NORA24,NORA-E
CV23-NTHA-00079,NTHA-383,NORA24,NORA-D
CV23-NTHA-00080,NTHA-384,NORA24,NORA-C
CV23-NTHA-00081,NTHA-385,NORA24,NORA-A
CV23-NTHA-00082,NTHA-386,NORA24,NORA-B
CV23-NTHA-00083,NTHA-387,NORA24,NORA-C
CV23-NTHA-00084,NTHA-388,NORA24,NORA-E
CV23-NTHA-00085,NTHA-389,NORA24,NORA-E
CV23-NTHA-00087,NTHA-391,NORA24,NORA-G
CV23-NTHA-00089,NTHA-393,NORA24,NORA-G
CV23-NTHA-00090,NTHA-394,NORA24,NORA-E
CV23-NTHA-00091,NTHA-301,NORA24,NORA-I
CV23-NTHA-00092,NTHA-302,NORA24,NORA-I
CV23-NTHA-00093,NTHA-303,NORA24,NORA-I
CV23-NTHA-00094,NTHA-304,NORA24,NORA-J
CV23-NTHA-00095,NTHA-305,NORA24,NORA-I
CV23-NTHA-00096,NTHA-306,NORA24,NORA-I
CV23-NTHA-00097,NTHA-307,NORA24,NORA-J
CV23-NTHA-00098,NTHA-308,NORA24,NORA-J
CV23-NTHA-00099,NTHA-309,NORA24,NORA-I
CV23-NTHA-00100,NTHA-310,NORA24,NORA-J
CV23-NTHA-00102,NTHA-312,NORA24,NORA-N
CV23-NTHA-00104,NTHA-314,NORA24,NORA-J
CV23-NTHA-00105,NTHA-315,NORA24,NORA-J
CV23-NTHA-00106,NTHA-316,NORA24,NORA-N
CV23-NTHA-00107,NTHA-317,NORA24,NORA-N
CV23-NTHA-00108,NTHA-318,NORA24,NORA-N
CV23-NTHA-00109,NTHA-319,NORA24,NORA-N
CV23-NTHA-00110,NTHA-320,NORA24,NORA-N
CV23-NTHA-00111,NTHA-350,NORA24,NORA-K
CV23-NTHA-00112,NTHA-351,NORA24,NORA-K
CV23-NTHA-00113,NTHA-352,NORA24,NORA-K
CV23-NTHA-00114,NTHA-353,NORA24,NORA-L
CV23-NTHA-00115,NTHA-354,NORA24,NORA-K
CV23-NTHA-00116,NTHA-355,NORA24,NORA-L
CV23-NTHA-00117,NTHA-356,NORA24,NORA-K
CV23-NTHA-00118,NTHA-357,NORA24,NORA-L
CV23-NTHA-00119,NTHA-358,NORA24,NORA-K
CV23-NTHA-00120,NTHA-359,NORA24,NORA-L
CV23-NTHA-00121,NTHA-360,NORA24,NORA-L
CV23-NTHA-00122,NTHA-361,NORA24,NORA-L
CV23-NTHA-00123,NTHA-362,NORA24,NORA-M
CV23-NTHA-00124,NTHA-363,NORA24,NORA-M
CV23-NTHA-00128,NTHA-367,NORA24,NORA-M
CV23-NTHA-00129,NTHA-368,NORA24,NORA-M
CV23-NTHA-00131,NTHA-370,NORA24,NORA-L
CV23-NTHA-00132,NTHA-371,NORA24,NORA-M
CV23-NTHA-00133,NTHA-372,NORA24,NORA-M
CV23-NTHA-00134,NTHA-373,NORA24,NORA-M
CV23-SOUA-00001,SOUA-350,LAMA24,LAMA24-E
CV23-SOUA-00004,SOUA-353,LAMA24,LAMA24-B
CV23-SOUA-00004,SOUA-353,LAMA24,LAMA24-E
CV23-SOUA-00005,SOUA-354,LAMA24,LAMA24-C
CV23-SOUA-00006,SOUA-355,LAMA24,LAMA24-D
CV23-SOUA-00007,SOUA-356,LAMA24,LAMA24-D
CV23-SOUA-00008,SOUA-357,LAMA24,LAMA24-C
CV23-SOUA-00009,SOUA-358,LAMA24,LAMA24-B
CV23-SOUA-00010,SOUA-359,LAMA24,LAMA24-C
CV23-SOUA-00012,SOUA-361,LAMA24,LAMA24-B
CV23-SOUA-00013,SOUA-362,LAMA24,LAMA24-B
CV23-SOUA-00014,SOUA-363,LAMA24,LAMA24-D
CV23-SOUA-00015,SOUA-364,LAMA24,LAMA24-D
CV23-SOUA-00017,SOUA-365,LAMA24,LAMA24-A
CV23-SOUA-00017,SOUA-366,LAMA24,LAMA24-C
CV23-SOUA-00018,SOUA-367,LAMA24,LAMA24-A
CV23-SOUA-00019,SOUA-368,LAMA24,LAMA24-A
CV23-SOUA-00020,SOUA-369,LAMA24,LAMA24-A
CV23-SOUA-00024,SOUA-373,LAMA24,LAMA24-A
CV23-SOUA-00025,SOUA-374,LAMA24,LAMA24-D
CV23-SOUA-00026,SOUA-301,LAMA24,LAMA24-A
CV23-SOUA-00043,SOUA-318,LAMA24,LAMA24-B
CV23-SOUA-00044,SOUA-319,LAMA24,LAMA24-B
CV23-SOUA-00046,SOUA-321,LAMA24,LAMA24-C
CV23-SOUA-00047,SOUA-322,LAMA24,LAMA24-C
CV23-SOUA-00049,SOUA-324,LAMA24,LAMA24-B
CV23-SOUA-00050,SOUA-325,LAMA24,LAMA24-E
CV23-SOUA-00051,SOUA-326,LAMA24,LAMA24-E
CV23-SOUA-00052,SOUA-327,LAMA24,LAMA24-E
CV23-SOUA-00053,SOUA-328,LAMA24,LAMA24-E
CV23-SOUA-00054,SOUA-329,LAMA24,LAMA24-A
CV23-SOUA-00056,SOUA-301,LAMA24,LAMA-F
CV23-SOUA-00057,SOUA-302,LAMA24,LAMA-F
CV23-SOUA-00058,SOUA-303,LAMA24,LAMA-F
CV23-SOUA-00059,SOUA-304,LAMA24,LAMA-F
CV23-SOUA-00060,SOUA-305,LAMA24,LAMA-F
CV23-SOUA-00062,SOUA-307,LAMA24,LAMA-H
CV23-SOUA-00063,SOUA-308,LAMA24,LAMA-H
CV23-SOUA-00064,SOUA-309,LAMA24,LAMA-F
CV23-SOUA-00065,SOUA-310,LAMA24,LAMA-H
CV23-SOUA-00066,SOUA-311,LAMA24,LAMA-J
CV23-SOUA-00067,SOUA-312,LAMA24,LAMA-F
CV23-SOUA-00068,SOUA-313,LAMA24,LAMA-J
CV23-SOUA-00069,SOUA-314,LAMA24,LAMA-H
CV23-SOUA-00070,SOUA-315,LAMA24,LAMA-H
CV23-SOUA-00071,SOUA-316,LAMA24,LAMA-J
CV23-SOUA-00072,SOUA-317,LAMA24,LAMA-H
CV23-SOUA-00073,SOUA-318,LAMA24,LAMA-J
CV23-SOUA-00074,SOUA-319,LAMA24,LAMA-H
CV23-SOUA-00075,SOUA-320,LAMA24,LAMA-J
CV23-SOUA-00076,SOUA-350,LAMA24,LAMA-G
CV23-SOUA-00077,SOUA-351,LAMA24,LAMA-G
CV23-SOUA-00078,SOUA-352,LAMA24,LAMA-G
CV23-SOUA-00079,SOUA-353,LAMA24,LAMA-G
CV23-SOUA-00080,SOUA-354,LAMA24,LAMA-G
CV23-SOUA-00081,SOUA-355,LAMA24,LAMA-G
CV23-SOUA-00082,SOUA-356,LAMA24,LAMA-G
CV23-SOUA-00083,SOUA-357,LAMA24,LAMA-H
CV23-SOUA-00084,SOUA-358,LAMA24,LAMA-H
CV23-SOUA-00085,SOUA-359,LAMA24,LAMA-H
CV23-SOUA-00086,SOUA-360,LAMA24,LAMA-I
CV23-SOUA-00087,SOUA-361,LAMA24,LAMA-I
CV23-SOUA-00088,SOUA-362,LAMA24,LAMA-I
CV23-SOUA-00089,SOUA-364,LAMA24,LAMA-I
CV23-SOUA-00090,SOUA-365,LAMA24,LAMA-I
CV23-SOUA-00091,SOUA-366,LAMA24,LAMA-I
CV23-SOUA-00092,SOUA-367,LAMA24,LAMA-I
CV23-SOUA-00093,SOUA-368,LAMA24,LAMA-J
CV23-SOUA-00094,SOUA-369,LAMA24,LAMA-J
